Year,Value,GeoCode
2019,13643,
2018,13086,
2017,12453,
2016,12133,
2015,11858,
2019,18756,1.0
2018,18810,1.0
2017,17076,1.0
2016,17157,1.0
2015,16369,1.0
2019,19963,2.0
2018,19043,2.0
2017,18068,2.0
2016,17652,2.0
2015,16778,2.0
2019,16719,3.0
2018,16058,3.0
2017,15193,3.0
2016,14841,3.0
2015,14550,3.0
2019,15039,4.0
2018,14500,4.0
2017,13962,4.0
2016,13657,4.0
2015,13359,4.0
2019,12732,5.0
2018,12078,5.0
2017,11367,5.0
2016,11253,5.0
2015,11028,5.0
2019,20292,6.0
2018,19893,6.0
2017,18844,6.0
2016,18319,6.0
2015,18900,6.0
2019,11158,7.0
2018,10663,7.0
2017,10250,7.0
2016,9964,7.0
2015,9786,7.0
2019,13029,8.0
2018,12441,8.0
2017,11944,8.0
2016,11595,8.0
2015,11341,8.0
2019,11578,9.0
2018,11098,9.0
2017,10627,9.0
2016,10302,9.0
2015,10080,9.0
2019,12089,10.0
2018,11480,10.0
2017,10877,10.0
2016,10565,10.0
2015,10383,10.0
2019,11547,11.0
2018,10991,11.0
2017,10450,11.0
2016,10096,11.0
2015,9779,11.0
2019,13477,12.0
2018,12861,12.0
2017,12376,12.0
2016,11902,12.0
2015,11567,12.0
2019,14877,13.0
2018,14252,13.0
2017,13655,13.0
2016,13392,13.0
2015,13202,13.0
2019,14537,14.0
2018,13959,14.0
2017,13208,14.0
2016,12726,14.0
2015,12566,14.0
2019,11118,15.0
2018,10638,15.0
2017,10143,15.0
2016,9823,15.0
2015,9607,15.0
2019,11301,16.0
2018,10766,16.0
2017,10302,16.0
2016,10083,16.0
2015,9794,16.0
2019,14142,17.0
2018,13447,17.0
2017,12727,17.0
2016,12394,17.0
2015,12127,17.0
2019,10562,18.0
2018,9935,18.0
2017,9673,18.0
2016,9362,18.0
2015,9020,18.0
2019,11887,19.0
2018,11383,19.0
2017,10933,19.0
2016,10510,19.0
2015,10144,19.0
